Network|Station|Location|Channel|Latitude|Longitude|Elevation|Depth|Azimuth|Dip|SensorDescription|Scale|ScaleFreq|ScaleUnits|SampleRate|StartTime|EndTime|Target|StartDate|EndDate|TotalTime
IU|HKT|00|HHZ|29.964781|-95.83812|-24.0|93.0|0.0|-90.0|Streckeisen STS-6A VBB Seismometer|1983069950.0|0.02|M/S|100.0|2018-01-26T16:50:00|2599-12-31T23:59:59|IU.HKT.00.HHZ.M|2018-01-26|2018-10-12|22317000.0
IU|HKT|10|HHZ|29.9618|-95.838402|-863.0|450.0|0.0|-90.0|Streckeisen STS-2 Standard-gain|2496450050.0|0.02|M/S|100.0|2011-09-27T00:00:00|2018-01-26T16:50:00|IU.HKT.10.HHZ.M|2011-09-27|2018-01-27|199903800.0
IU|HKT|10|HHZ|29.964781|-95.83812|39.0|30.0|0.0|-90.0|Trillium 360|1822009980.0|0.02|M/S|100.0|2018-01-26T16:50:00|2018-06-12T19:30:00|IU.HKT.10.HHZ.M|2018-01-26|2018-06-13|11846400.0
IU|HKT|10|HHZ|29.964781|-95.83812|55.0|14.0|0.0|-90.0|Trillium 360|1822009980.0|0.02|M/S|100.0|2018-06-12T19:30:00|2599-12-31T23:59:59|IU.HKT.10.HHZ.M|2018-06-12|2018-10-12|10470600.0
IU|HNR|00|HHZ|-9.4387|159.947495|99.0|1.0|0.0|-90.0|Streckeisen STS-2 Standard-gain|2462889980.0|0.02|M/S|100.0|2013-10-17T21:21:00|2016-09-06T00:00:00|IU.HNR.00.HHZ.M|2013-10-17|2016-09-06|91075140.0
IU|HNR|00|HHZ|-9.4387|159.947495|29.0|71.0|0.0|-90.0|T120 post hole, quiet|1974680060.0|0.02|M/S|100.0|2016-09-06T00:00:00|2018-03-15T00:00:00|IU.HNR.00.HHZ.M|2016-09-06|2018-03-15|47952000.0
IU|HNR|00|HHZ|-9.4387|159.947495|0.0|100.0|0.0|-90.0|Trillium 360|1825360000.0|0.02|M/S|100.0|2018-03-15T00:00:00|2599-12-31T23:59:59|IU.HNR.00.HHZ.M|2018-03-15|2018-10-12|18230400.0
IU|HNR|10|HHZ|-9.4387|159.947495|99.0|1.0|0.0|-90.0|Streckeisen STS-2 Standard-gain|2462889980.0|0.02|M/S|100.0|2010-04-24T00:00:00|2011-02-26T08:27:00|IU.HNR.10.HHZ.M|2010-04-24|2011-02-27|26641620.0
IU|HNR|10|HHZ|-9.4387|159.947495|99.0|1.0|0.0|-90.0|Streckeisen STS-2 Standard-gain|2462889980.0|0.02|M/S|100.0|2011-02-26T08:27:00|2013-10-17T21:21:00|IU.HNR.10.HHZ.M|2011-02-26|2013-10-18|83336040.0
IU|HNR|10|HHZ|-9.4387|159.947495|99.0|1.0|0.0|-90.0|Streckeisen STS-2 High-gain|32628299800.0|0.02|M/S|100.0|2016-09-04T00:00:00|2018-03-16T00:00:00|IU.HNR.10.HHZ.M|2016-09-04|2018-03-16|48211200.0
IU|HNR|10|HHZ|-9.4387|159.947495|99.0|1.0|0.0|-90.0|Streckeisen STS-2 High-gain|32628299800.0|0.02|M/S|100.0|2018-03-16T00:00:00|2599-12-31T23:59:59|IU.HNR.10.HHZ.M|2018-03-16|2018-10-12|18144000.0
IU|HRV|10|EHZ|42.506401|-71.558296|200.0|0.0|0.0|-90.0|Streckeisen STS-2 High-gain|32628299800.0|0.02|M/S|200.0|2011-09-06T00:00:00|2011-09-08T00:00:00|IU.HRV.10.EHZ.M|2011-09-06|2011-09-08|172800.0
IU|HRV|10|HHZ|42.506401|-71.558296|200.0|0.0|0.0|-90.0|Streckeisen STS-2 High-gain|32628299800.0|0.02|M/S|100.0|2008-09-22T00:00:00|2009-12-17T06:02:00|IU.HRV.10.HHZ.M|2008-09-22|2009-12-18|38988120.0
IU|HRV|10|HHZ|42.506401|-71.558296|200.0|0.0|0.0|-90.0|Streckeisen STS-2 High-gain|32628299800.0|0.02|M/S|100.0|2015-08-21T18:45:00|2016-04-27T17:00:00|IU.HRV.10.HHZ.M|2015-08-21|2016-04-28|21593700.0
IU|HRV|10|HHZ|42.506401|-71.558296|200.0|0.0|0.0|-90.0|Streckeisen STS-2 High-gain|32628299800.0|0.02|M/S|100.0|2016-04-27T17:00:00|2016-05-11T16:00:00|IU.HRV.10.HHZ.M|2016-04-27|2016-05-12|1206000.0
IU|HRV|10|HHZ|42.506401|-71.558296|200.0|0.0|0.0|-90.0|Streckeisen STS-2 High-gain|32628299800.0|0.02|M/S|100.0|2016-05-11T16:00:00|2018-08-24T00:00:00|IU.HRV.10.HHZ.M|2016-05-11|2018-08-24|72086400.0
IU|INCN|10|HHZ|37.4776|126.623901|65.0|15.0|0.0|-90.0|Streckeisen STS-2 High-gain|33697699800.0|0.02|M/S|100.0|2009-11-16T03:00:00|2010-10-07T14:23:00|IU.INCN.10.HHZ.M|2009-11-16|2010-10-08|28120980.0
IU|INCN|10|HHZ|37.4776|126.623901|65.0|15.0|0.0|-90.0|Streckeisen STS-2 High-gain|33697699800.0|0.02|M/S|100.0|2010-10-07T14:23:00|2011-12-07T22:21:00|IU.INCN.10.HHZ.M|2010-10-07|2011-12-08|36835080.0
IU|INCN|10|HHZ|37.4776|126.623901|65.0|15.0|0.0|-90.0|Streckeisen STS-2 High-gain|33697699800.0|0.02|M/S|100.0|2011-12-07T22:21:00|2012-10-16T00:00:00|IU.INCN.10.HHZ.M|2011-12-07|2012-10-16|27049140.0
