Network|Station|Location|Channel|Latitude|Longitude|Elevation|Depth|Azimuth|Dip|SensorDescription|Scale|ScaleFreq|ScaleUnits|SampleRate|StartTime|EndTime|Target|StartDate|EndDate|TotalTime
TA|117A||BHZ|32.571602|-110.739304|1544.0|0.0|0.0|-90.0|Streckeisen STS-2 G3/Quanterra 330 Linear Phase Co|627192000.0|0.2|M/S|40.0|2008-10-30T14:00:00|2008-12-03T20:45:00|TA.117A..BHZ.M|2008-10-30|2008-12-04|2961900.0
TA|118A||BHZ|32.6399|-109.969704|1440.0|0.0|0.0|-90.0|Guralp CMG3T/Quanterra 330 Linear Phase Composite|630907010.0|0.2|M/S|40.0|2007-04-05T00:00:00|2009-01-21T17:30:00|TA.118A..BHZ.M|2007-04-05|2009-01-22|56827800.0
TA|119A||BHZ|32.7663|-109.302902|1406.0|0.0|0.0|-90.0|Guralp CMG3T/Quanterra 330 Linear Phase Composite|630907010.0|0.2|M/S|40.0|2007-03-11T00:00:00|2008-01-09T16:30:00|TA.119A..BHZ.M|2007-03-11|2008-01-10|26325000.0
TA|119A||BHZ|32.7663|-109.302902|1406.0|0.0|0.0|-90.0|Guralp CMG3T/Quanterra 330 Linear Phase Composite|630907010.0|0.2|M/S|40.0|2008-01-09T16:30:00|2009-01-18T18:30:00|TA.119A..BHZ.M|2008-01-09|2009-01-19|32407200.000000004
TA|120A||BHZ|32.5466|-108.633003|1528.0|0.0|0.0|-90.0|Streckeisen STS-2 G3/Quanterra 330 Linear Phase Co|627192000.0|0.2|M/S|40.0|2008-02-02T00:00:00|2008-07-23T15:15:00|TA.120A..BHZ.M|2008-02-02|2008-07-24|14915700.0
TA|120A||BHZ|32.5466|-108.633003|1528.0|0.0|0.0|-90.0|Streckeisen STS-2 G3/Quanterra 330 Linear Phase Co|627192000.0|0.2|M/S|40.0|2008-07-23T15:15:00|2009-12-10T22:00:00|TA.120A..BHZ.M|2008-07-23|2009-12-11|43656300.0
TA|121A||BHZ|32.532398|-107.785103|1652.0|0.0|0.0|-90.0|Streckeisen STS-2 G3/Quanterra 330 Linear Phase Co|627192000.0|0.2|M/S|40.0|2008-02-12T00:00:00|2009-12-11T23:30:00|TA.121A..BHZ.M|2008-02-12|2009-12-12|57799800.0
TA|121A||BHZ|32.532398|-107.785103|1652.0|0.0|0.0|-90.0|Streckeisen STS-2 G3/Quanterra 330 Linear Phase Co|627192000.0|0.2|M/S|40.0|2009-12-11T23:30:00|2015-08-17T15:35:00|TA.121A..BHZ.M|2009-12-11|2015-08-18|179251500.0
TA|121A||BHZ|32.532398|-107.785103|1652.0|0.0|0.0|-90.0|Streckeisen STS-2 G3/Quanterra 330 Linear Phase Co|627192000.0|0.2|M/S|40.0|2015-08-17T15:35:00|2015-08-18T13:30:00|TA.121A..BHZ.M|2015-08-17|2015-08-19|78900.0
TA|121A||BHZ|32.532398|-107.785103|1652.0|0.0|0.0|-90.0|Streckeisen STS-2 G3/Quanterra 330 Linear Phase Co|627192000.0|0.2|M/S|40.0|2015-08-18T13:30:00|2016-06-28T18:26:00|TA.121A..BHZ.M|2015-08-18|2016-06-29|27233760.0
