Network|Station|Location|Channel|Latitude|Longitude|Elevation|Depth|Azimuth|Dip|SensorDescription|Scale|ScaleFreq|ScaleUnits|SampleRate|StartTime|EndTime|Target|StartDate|EndDate|TotalTime
2C|GS11||CHZ|-84.066299|-159.023102|110.0|0.0|0.0|-90.0|Nanometrics Trillium 120 Sec Response/Reftek 130 D|754451010.0|0.9|M/S|500.0|2011-12-01T00:00:00|2011-12-28T23:59:59|2C.GS11..CHZ.M|2011-12-01|2011-12-29|2419199.0
2C|GS13||CHZ|-84.554199|-162.277893|120.0|0.0|0.0|-90.0|Nanometrics Trillium 120 Sec Response/Reftek 130 D|754451010.0|0.9|M/S|500.0|2011-12-01T00:00:00|2011-12-28T23:59:59|2C.GS13..CHZ.M|2011-12-01|2011-12-29|2419199.0
2C|GS14||CHZ|-83.951698|-159.753494|120.0|0.0|0.0|-90.0|Nanometrics Trillium 120 Sec Response/Reftek 130 D|754451010.0|0.9|M/S|500.0|2011-12-01T00:00:00|2011-12-28T23:59:59|2C.GS14..CHZ.M|2011-12-01|2011-12-29|2419199.0
2C|GS15||CHZ|-84.269501|-162.21580500000005|100.0|0.0|0.0|-90.0|Nanometrics Trillium 120 Sec Response/Reftek 130 D|754451010.0|0.9|M/S|500.0|2011-12-01T00:00:00|2011-12-28T23:59:59|2C.GS15..CHZ.M|2011-12-01|2011-12-29|2419199.0
2C|GS16||CHZ|-83.821404|-159.5672|100.0|0.0|0.0|-90.0|Nanometrics Trillium 120 Sec Response/Reftek 130 D|754451010.0|0.9|M/S|500.0|2011-12-01T00:00:00|2011-12-28T23:59:59|2C.GS16..CHZ.M|2011-12-01|2011-12-29|2419199.0
2C|GS17||CHZ|-83.8871|-161.056305|100.0|0.0|0.0|-90.0|Nanometrics Trillium 120 Sec Response/Reftek 130 D|754451010.0|0.9|M/S|500.0|2011-12-01T00:00:00|2011-12-28T23:59:59|2C.GS17..CHZ.M|2011-12-01|2011-12-29|2419199.0
2C|GS18||CHZ|-83.767303|-160.796906|90.0|0.0|0.0|-90.0|Nanometrics Trillium 120 Sec Response/Reftek 130 D|754451010.0|0.9|M/S|500.0|2011-12-01T00:00:00|2011-12-28T23:59:59|2C.GS18..CHZ.M|2011-12-01|2011-12-29|2419199.0
2C|IP01||HHZ|-84.351303|-160.921799|98.0|0.0|0.0|-90.0|Guralp CMG40T/Reftek 130 Datalogger|509222016.0|1.0|M/S|200.0|2010-12-01T01:01:29|2011-02-05T23:59:59|2C.IP01..HHZ.M|2010-12-01|2011-02-06|5785110.0
2C|IP02||HHZ|-84.278999|-157.616592|109.0|0.0|0.0|-90.0|Guralp CMG40T/Reftek 130 Datalogger|509222016.0|1.0|M/S|200.0|2010-12-01T01:01:30|2011-02-05T23:59:59|2C.IP02..HHZ.M|2010-12-01|2011-02-06|5785109.0
2C|IP03||HHZ|-84.32289899999998|-158.688004|110.0|0.0|0.0|-90.0|Guralp CMG40T/Reftek 130 Datalogger|509222016.0|1.0|M/S|200.0|2010-12-01T01:01:31|2011-02-05T23:59:59|2C.IP03..HHZ.M|2010-12-01|2011-02-06|5785108.0
2C|IP04||HHZ|-84.355301|-157.969299|99.0|0.0|0.0|-90.0|Guralp CMG40T/Reftek 130 Datalogger|509222016.0|1.0|M/S|200.0|2010-12-01T01:01:32|2011-02-05T23:59:59|2C.IP04..HHZ.M|2010-12-01|2011-02-06|5785107.0
2C|IP06||HHZ|-84.1604|-158.593704|116.0|0.0|0.0|-90.0|Guralp CMG40T/Reftek 130 Datalogger|509222016.0|1.0|M/S|200.0|2010-12-01T01:01:33|2011-02-05T23:59:59|2C.IP06..HHZ.M|2010-12-01|2011-02-06|5785106.0
2C|IP08||HHZ|-84.318001|-158.315598|117.0|0.0|0.0|-90.0|Guralp CMG40T/Reftek 130 Datalogger|509222016.0|1.0|M/S|200.0|2010-12-01T01:01:34|2011-02-05T23:59:59|2C.IP08..HHZ.M|2010-12-01|2011-02-06|5785105.0
2C|IP09||HHZ|-84.3116|-158.263504|106.0|0.0|0.0|-90.0|Guralp CMG40T/Reftek 130 Datalogger|509222016.0|1.0|M/S|200.0|2010-12-01T01:01:35|2011-02-05T23:59:59|2C.IP09..HHZ.M|2010-12-01|2011-02-06|5785104.0
2C|IP10||HHZ|-84.44360400000002|-156.969299|126.0|0.0|0.0|-90.0|Guralp CMG40T/Reftek 130 Datalogger|509222016.0|1.0|M/S|200.0|2010-12-01T01:01:36|2011-02-05T23:59:59|2C.IP10..HHZ.M|2010-12-01|2011-02-06|5785103.0
2C|IP11||HHZ|-84.24389599999998|-158.318802|120.0|0.0|0.0|-90.0|Guralp CMG40T/Reftek 130 Datalogger|509222016.0|1.0|M/S|200.0|2010-12-01T01:01:37|2011-02-05T23:59:59|2C.IP11..HHZ.M|2010-12-01|2011-02-06|5785102.0
2C|IP12||HHZ|-84.269699|-159.854095|107.0|0.0|0.0|-90.0|Guralp CMG40T/Reftek 130 Datalogger|509222016.0|1.0|M/S|200.0|2010-12-01T01:01:38|2011-02-05T23:59:59|2C.IP12..HHZ.M|2010-12-01|2011-02-06|5785101.0
2C|IP13||HHZ|-84.3479|-158.431396|114.0|0.0|0.0|-90.0|Guralp CMG40T/Reftek 130 Datalogger|509222016.0|1.0|M/S|200.0|2010-12-01T01:01:39|2011-02-05T23:59:59|2C.IP13..HHZ.M|2010-12-01|2011-02-06|5785100.0
2C|IP14||HHZ|-84.404198|-159.67700200000004|72.0|0.0|0.0|-90.0|Guralp CMG40T/Reftek 130 Datalogger|509222016.0|1.0|M/S|200.0|2010-12-01T01:01:40|2011-02-05T23:59:59|2C.IP14..HHZ.M|2010-12-01|2011-02-06|5785099.0
2C|IP16||HHZ|-84.353401|-158.503403|110.0|0.0|0.0|-90.0|Guralp CMG40T/Reftek 130 Datalogger|509222016.0|1.0|M/S|200.0|2010-12-01T01:01:41|2011-02-05T23:59:59|2C.IP16..HHZ.M|2010-12-01|2011-02-06|5785098.0
2C|IP17||HHZ|-84.318398|-158.239304|106.0|0.0|0.0|-90.0|Guralp CMG40T/Reftek 130 Datalogger|509222016.0|1.0|M/S|200.0|2010-12-01T01:01:42|2011-02-05T23:59:59|2C.IP17..HHZ.M|2010-12-01|2011-02-06|5785097.0
